0,0,0
746.09,1132.8,1
562.5,1406.3,2
226.56,2214.8,3
585.94,859.38,4
253.91,593.75,5
355.47,1597.7,6
761.72,1148.4,1
613.28,1507.8,2
214.84,2679.7,3
589.84,843.75,4
265.63,589.84,5
351.56,1593.8,6
738.28,1183.6,1
566.41,1515.6,2
218.75,2281.3,3
582.03,843.75,4
273.44,605.47,5
304.69,1535.2,6
718.75,1148.4,1
652.34,1558.6,2
210.94,2714.8,3
546.88,820.31,4
296.88,667.97,5
269.53,1570.3,6
808.59,1105.5,1
636.72,1558.6,2
226.56,2363.3,3
523.44,812.5,4
269.53,546.88,5
281.25,1574.2,6
718.75,1117.2,1
648.44,1558.6,2
234.38,2191.4,3
527.34,808.59,4
285.16,566.41,5
324.22,1628.9,6
