0,0,0
828.13,1203.1,1
773.44,1472.7,2
304.69,2128.9,3
824.22,2515.6,4
363.28,687.5,5
433.59,1722.7,6
808.59,1265.6,1
683.59,1523.4,2
339.84,2097.7,3
828.13,2425.8,4
375,734.38,5
410.16,1699.2,6
789.06,1304.7,1
554.69,1460.9,2
339.84,1007.8,3
898.44,3242.2,4
511.72,1578.1,5
425.78,1804.7,6
1222.7,2363.3,1
644.53,1668,2
378.91,2144.5,3
519.53,921.88,4
621.09,1574.2,5
417.97,1824.2,6
1261.7,2546.9,1
589.84,1554.7,2
386.72,1293,3
742.19,3222.7,4
457.03,1480.5,5
414.06,1808.6,6
757.81,1253.9,1
640.63,1554.7,2
390.63,2187.5,3
500,792.97,4
402.34,1628.9,5
464.84,1847.7,6
