0,0,0
675.78,1113.3,1
535.16,1722.7,2
277.34,2097.7,3
574.22,859.38,4
304.69,2136.7,5
320.31,1617.2,6
648.44,1218.8,1
460.94,1738.3,2
238.28,2152.3,3
539.06,871.09,4
308.59,718.75,5
355.47,1570.3,6
683.59,1250,1
476.56,1730.5,2
296.88,2191.4,3
566.41,851.56,4
324.22,2777.3,5
343.75,1679.7,6
636.72,1203.1,1
484.38,1796.9,2
269.53,2156.3,3
488.28,816.41,4
328.13,578.13,5
347.66,1668,6
636.72,1199.2,1
484.38,1671.9,2
257.81,2125,3
453.13,789.06,4
285.16,2019.5,5
351.56,1531.3,6
644.53,1222.7,1
488.28,1675.8,2
253.91,2121.1,3
488.28,835.94,4
281.25,667.97,5
363.28,1585.9,6
