0,0,0
765.63,1109.4,1
726.56,1476.6,2
265.63,2105.5,3
660.16,937.5,4
316.41,710.94,5
425.78,1632.8,6
812.5,1332,1
757.81,1578.1,2
300.78,2140.6,3
699.22,929.69,4
367.19,785.16,5
667.97,1644.5,6
843.75,1359.4,1
750,1527.3,2
320.31,2164.1,3
867.19,2359.4,4
414.06,738.28,5
464.84,1808.6,6
789.06,1316.4,1
703.13,1488.3,2
328.13,2050.8,3
851.56,2351.6,4
371.09,753.91,5
527.34,1660.2,6
781.25,1335.9,1
707.03,1511.7,2
347.66,2136.7,3
687.5,898.44,4
433.59,710.94,5
425.78,1800.8,6
785.16,1246.1,1
695.31,1464.8,2
359.38,2140.6,3
507.81,832.03,4
378.91,660.16,5
421.88,1812.5,6
