0,0,0
933.59,1273.4,1
539.06,1492.2,2
257.81,2285.2,3
851.56,2578.1,4
296.88,683.59,5
335.94,1695.3,6
1003.9,1402.3,1
1664.1,2457,2
250,1164.1,3
875,2433.6,4
300.78,750,5
378.91,1687.5,6
1156.3,2390.6,1
449.22,1609.4,2
281.25,964.84,3
675.78,2328.1,4
367.19,2238.3,5
339.84,1769.5,6
1070.3,2421.9,1
433.59,1695.3,2
300.78,1179.7,3
761.72,2484.4,4
335.94,703.13,5
359.38,1863.3,6
781.25,1144.5,1
636.72,1734.4,2
281.25,2328.1,3
847.66,2289.1,4
308.59,671.88,5
367.19,1710.9,6
1074.2,1402.3,1
746.09,1679.7,2
281.25,1085.9,3
925.78,2386.7,4
320.31,667.97,5
324.22,1847.7,6
