F1,F2,aiueo
756.25,1420.3125,1
807.03125,1353.90625,1
814.84375,1447.65625,1
783.59375,1451.5625,1
810.9375,1424.21875,1
771.875,1377.34375,1
771.875,1373.4375,1
752.34375,1283.59375,1
814.84375,1275.78125,1
807.03125,1236.71875,1
912.5,1510.15625,1
783.59375,1576.5625,1
850,1506.25,1
799.21875,1201.5625,1
779.6875,1115.625,1
771.875,1271.875,1
795.3125,1287.5,1
814.84375,1396.875,1
783.59375,1342.1875,1
775.78125,1478.90625,1
885.15625,1592.1875,1
850,1205.46875,1
889.0625,1303.125,1
838.28125,1322.65625,1
838.28125,1271.875,1
834.375,1369.53125,1
799.21875,1318.75,1
803.125,1353.90625,1
850,1517.96875,1
756.25,1514.0625,1
775.78125,1100,1
795.3125,1338.28125,1
752.34375,1439.84375,1
682.03125,1451.5625,1
736.71875,1432.03125,1
705.46875,1267.96875,1
760.15625,1295.3125,1
744.53125,1267.96875,1
861.71875,1299.21875,1
756.25,1225,1
713.28125,1279.6875,1
732.8125,1248.4375,1
826.5625,1334.375,1
889.0625,1334.375,1
787.5,1264.0625,1
795.3125,1271.875,1
791.40625,1271.875,1
756.25,1267.96875,1
779.6875,1299.21875,1
732.8125,1240.625,1
803.125,1260.15625,1
748.4375,1221.09375,1
814.84375,1553.125,1
771.875,1580.46875,1
760.15625,1533.59375,1
752.34375,1225,1
771.875,1392.96875,1
736.71875,1533.59375,1
760.15625,1119.53125,1
787.5,1432.03125,1
246.09375,3242.1875,2
230.46875,3218.75,2
238.28125,3167.96875,2
242.1875,3207.03125,2
242.1875,3191.40625,2
273.4375,3179.6875,2
250,3273.4375,2
253.90625,3281.25,2
246.09375,3238.28125,2
246.09375,3199.21875,2
246.09375,3207.03125,2
250,3199.21875,2
238.28125,3183.59375,2
250,3144.53125,2
250,3152.34375,2
222.65625,3128.90625,2
246.09375,3214.84375,2
242.1875,3187.5,2
242.1875,3191.40625,2
238.28125,3183.59375,2
242.1875,3175.78125,2
238.28125,3167.96875,2
238.28125,3171.875,2
230.46875,3140.625,2
238.28125,3132.8125,2
261.71875,3195.3125,2
246.09375,3152.34375,2
210.9375,2199.21875,2
226.5625,3144.53125,2
230.46875,3140.625,2
234.375,3144.53125,2
222.65625,3136.71875,2
242.1875,3316.40625,2
230.46875,3148.4375,2
234.375,3210.9375,2
234.375,3238.28125,2
226.5625,3273.4375,2
230.46875,3167.96875,2
230.46875,3125,2
234.375,3097.65625,2
226.5625,3058.59375,2
207.03125,3054.6875,2
242.1875,3343.75,2
230.46875,3328.125,2
218.75,3316.40625,2
234.375,3289.0625,2
230.46875,3289.0625,2
250,3296.875,2
226.5625,3308.59375,2
222.65625,3296.875,2
234.375,3277.34375,2
234.375,3281.25,2
238.28125,3257.8125,2
214.84375,3261.71875,2
238.28125,3281.25,2
230.46875,3242.1875,2
226.5625,3250,2
226.5625,3257.8125,2
222.65625,3265.625,2
222.65625,2097.65625,2
226.5625,3253.90625,2
222.65625,3265.625,2
226.5625,3265.625,2
250,3332.03125,2
226.5625,3359.375,2
234.375,3289.0625,2
230.46875,3273.4375,2
230.46875,2398.4375,2
230.46875,3265.625,2
226.5625,3261.71875,2
222.65625,3234.375,2
226.5625,3230.46875,2
218.75,3207.03125,2
230.46875,3152.34375,2
226.5625,3257.8125,2
238.28125,3308.59375,2
242.1875,3250,2
246.09375,3234.375,2
238.28125,3191.40625,2
246.09375,3226.5625,2
234.375,2214.84375,2
234.375,3160.15625,2
246.09375,3242.1875,2
246.09375,3207.03125,2
242.1875,3203.125,2
246.09375,3203.125,2
238.28125,3210.9375,2
246.09375,3187.5,2
242.1875,3160.15625,2
246.09375,3238.28125,2
218.75,3191.40625,2
269.53125,3066.40625,2
265.625,3144.53125,2
273.4375,2070.3125,2
257.8125,3140.625,2
250,3105.46875,2
253.90625,3109.375,2
250,3281.25,2
253.90625,3125,2
253.90625,3078.125,2
246.09375,2742.1875,2
230.46875,2718.75,2
238.28125,2667.96875,2
242.1875,2707.03125,2
242.1875,2691.40625,2
273.4375,2679.6875,2
250,2773.4375,2
253.90625,2781.25,2
246.09375,2738.28125,2
246.09375,2699.21875,2
246.09375,2707.03125,2
250,2699.21875,2
238.28125,2683.59375,2
250,2644.53125,2
250,2652.34375,2
222.65625,2628.90625,2
246.09375,2714.84375,2
242.1875,2687.5,2
242.1875,2691.40625,2
238.28125,2683.59375,2
242.1875,2675.78125,2
238.28125,2667.96875,2
238.28125,2671.875,2
230.46875,2640.625,2
238.28125,2632.8125,2
261.71875,2695.3125,2
246.09375,2652.34375,2
210.9375,1699.21875,2
226.5625,2644.53125,2
230.46875,2640.625,2
234.375,2644.53125,2
222.65625,2636.71875,2
242.1875,2816.40625,2
230.46875,2648.4375,2
234.375,2710.9375,2
234.375,2738.28125,2
226.5625,2773.4375,2
230.46875,2667.96875,2
230.46875,2625,2
234.375,2597.65625,2
226.5625,2558.59375,2
207.03125,2554.6875,2
242.1875,2843.75,2
230.46875,2828.125,2
218.75,2816.40625,2
234.375,2789.0625,2
230.46875,2789.0625,2
250,2796.875,2
226.5625,2808.59375,2
222.65625,2796.875,2
284.375,2877.34375,2
284.375,2881.25,2
288.28125,2857.8125,2
264.84375,2861.71875,2
288.28125,2881.25,2
280.46875,2842.1875,2
276.5625,2850,2
276.5625,2857.8125,2
272.65625,2865.625,2
272.65625,1697.65625,2
276.5625,2853.90625,2
272.65625,2865.625,2
276.5625,2865.625,2
300,2932.03125,2
276.5625,2959.375,2
284.375,2889.0625,2
280.46875,2873.4375,2
280.46875,1998.4375,2
280.46875,2865.625,2
276.5625,2861.71875,2
272.65625,2834.375,2
276.5625,2830.46875,2
268.75,2807.03125,2
280.46875,2752.34375,2
276.5625,2857.8125,2
288.28125,2908.59375,2
292.1875,2850,2
296.09375,2834.375,2
288.28125,2791.40625,2
296.09375,2826.5625,2
284.375,1814.84375,2
284.375,2760.15625,2
296.09375,2842.1875,2
296.09375,2807.03125,2
292.1875,2803.125,2
296.09375,2803.125,2
288.28125,2810.9375,2
296.09375,2787.5,2
292.1875,2760.15625,2
296.09375,2838.28125,2
268.75,2791.40625,2
319.53125,2666.40625,2
315.625,2744.53125,2
323.4375,1670.3125,2
307.8125,2740.625,2
300,2705.46875,2
303.90625,2709.375,2
300,2881.25,2
303.90625,2725,2
303.90625,2678.125,2
246.09375,2742.1875,2
230.46875,2718.75,2
238.28125,2667.96875,2
242.1875,2707.03125,2
242.1875,2691.40625,2
273.4375,2679.6875,2
250,2773.4375,2
253.90625,2781.25,2
246.09375,2738.28125,2
246.09375,2699.21875,2
246.09375,2707.03125,2
250,2699.21875,2
238.28125,2683.59375,2
250,2644.53125,2
250,2652.34375,2
222.65625,2628.90625,2
246.09375,2714.84375,2
242.1875,2687.5,2
242.1875,2691.40625,2
238.28125,2683.59375,2
242.1875,2675.78125,2
238.28125,2667.96875,2
238.28125,2671.875,2
230.46875,2640.625,2
238.28125,2632.8125,2
261.71875,2695.3125,2
246.09375,2652.34375,2
210.9375,1699.21875,2
226.5625,2644.53125,2
230.46875,2640.625,2
234.375,2644.53125,2
222.65625,2636.71875,2
242.1875,2816.40625,2
230.46875,2648.4375,2
234.375,2710.9375,2
234.375,2738.28125,2
226.5625,2773.4375,2
230.46875,2667.96875,2
230.46875,2625,2
234.375,2597.65625,2
226.5625,2558.59375,2
207.03125,2554.6875,2
242.1875,2843.75,2
230.46875,2828.125,2
218.75,2816.40625,2
234.375,2789.0625,2
230.46875,2789.0625,2
250,2796.875,2
226.5625,2808.59375,2
222.65625,2796.875,2
284.375,2877.34375,2
284.375,2881.25,2
288.28125,2857.8125,2
264.84375,2861.71875,2
288.28125,2881.25,2
280.46875,2842.1875,2
276.5625,2850,2
276.5625,2857.8125,2
272.65625,2865.625,2
272.65625,1697.65625,2
276.5625,2853.90625,2
272.65625,2865.625,2
276.5625,2865.625,2
300,2932.03125,2
276.5625,2959.375,2
284.375,2889.0625,2
280.46875,2873.4375,2
280.46875,1998.4375,2
280.46875,2865.625,2
276.5625,2861.71875,2
272.65625,2834.375,2
276.5625,2830.46875,2
268.75,2807.03125,2
280.46875,2752.34375,2
276.5625,2857.8125,2
288.28125,2908.59375,2
292.1875,2850,2
296.09375,2834.375,2
288.28125,2791.40625,2
296.09375,2826.5625,2
284.375,1814.84375,2
284.375,2760.15625,2
296.09375,2842.1875,2
296.09375,2807.03125,2
292.1875,2803.125,2
296.09375,2803.125,2
288.28125,2810.9375,2
296.09375,2787.5,2
292.1875,2760.15625,2
296.09375,2838.28125,2
268.75,2791.40625,2
319.53125,2666.40625,2
315.625,2744.53125,2
323.4375,1670.3125,2
307.8125,2740.625,2
300,2705.46875,2
303.90625,2709.375,2
300,2881.25,2
303.90625,2725,2
303.90625,2678.125,2
246.09375,2742.1875,2
230.46875,2718.75,2
238.28125,2667.96875,2
242.1875,2707.03125,2
242.1875,2691.40625,2
273.4375,2679.6875,2
250,2773.4375,2
253.90625,2781.25,2
246.09375,2738.28125,2
246.09375,2699.21875,2
246.09375,2707.03125,2
250,2699.21875,2
238.28125,2683.59375,2
250,2644.53125,2
250,2652.34375,2
222.65625,2628.90625,2
246.09375,2714.84375,2
242.1875,2687.5,2
242.1875,2691.40625,2
238.28125,2683.59375,2
242.1875,2675.78125,2
238.28125,2667.96875,2
238.28125,2671.875,2
230.46875,2640.625,2
238.28125,2632.8125,2
261.71875,2695.3125,2
246.09375,2652.34375,2
210.9375,1699.21875,2
226.5625,2644.53125,2
230.46875,2640.625,2
234.375,2644.53125,2
222.65625,2636.71875,2
242.1875,2816.40625,2
230.46875,2648.4375,2
234.375,2710.9375,2
234.375,2738.28125,2
226.5625,2773.4375,2
230.46875,2667.96875,2
230.46875,2625,2
234.375,2597.65625,2
226.5625,2558.59375,2
207.03125,2554.6875,2
242.1875,2843.75,2
230.46875,2828.125,2
218.75,2816.40625,2
234.375,2789.0625,2
230.46875,2789.0625,2
250,2796.875,2
226.5625,2808.59375,2
222.65625,2796.875,2
284.375,2877.34375,2
284.375,2881.25,2
288.28125,2857.8125,2
264.84375,2861.71875,2
288.28125,2881.25,2
280.46875,2842.1875,2
276.5625,2850,2
276.5625,2857.8125,2
272.65625,2865.625,2
272.65625,1697.65625,2
276.5625,2853.90625,2
272.65625,2865.625,2
276.5625,2865.625,2
300,2932.03125,2
276.5625,2959.375,2
284.375,2889.0625,2
280.46875,2873.4375,2
280.46875,1998.4375,2
280.46875,2865.625,2
276.5625,2861.71875,2
272.65625,2834.375,2
276.5625,2830.46875,2
268.75,2807.03125,2
280.46875,2752.34375,2
276.5625,2857.8125,2
288.28125,2908.59375,2
292.1875,2850,2
296.09375,2834.375,2
288.28125,2791.40625,2
296.09375,2826.5625,2
284.375,1814.84375,2
284.375,2760.15625,2
296.09375,2842.1875,2
296.09375,2807.03125,2
292.1875,2803.125,2
296.09375,2803.125,2
288.28125,2810.9375,2
296.09375,2787.5,2
292.1875,2760.15625,2
296.09375,2838.28125,2
268.75,2791.40625,2
319.53125,2666.40625,2
315.625,2744.53125,2
323.4375,1670.3125,2
307.8125,2740.625,2
300,2705.46875,2
303.90625,2709.375,2
300,2881.25,2
303.90625,2725,2
303.90625,2678.125,2
246.09375,2742.1875,2
230.46875,2718.75,2
238.28125,2667.96875,2
242.1875,2707.03125,2
242.1875,2691.40625,2
273.4375,2679.6875,2
250,2773.4375,2
253.90625,2781.25,2
246.09375,2738.28125,2
246.09375,2699.21875,2
246.09375,2707.03125,2
250,2699.21875,2
238.28125,2683.59375,2
250,2644.53125,2
250,2652.34375,2
222.65625,2628.90625,2
246.09375,2714.84375,2
242.1875,2687.5,2
242.1875,2691.40625,2
238.28125,2683.59375,2
242.1875,2675.78125,2
238.28125,2667.96875,2
238.28125,2671.875,2
230.46875,2640.625,2
238.28125,2632.8125,2
261.71875,2695.3125,2
246.09375,2652.34375,2
210.9375,1699.21875,2
226.5625,2644.53125,2
230.46875,2640.625,2
234.375,2644.53125,2
222.65625,2636.71875,2
242.1875,2816.40625,2
230.46875,2648.4375,2
234.375,2710.9375,2
234.375,2738.28125,2
226.5625,2773.4375,2
230.46875,2667.96875,2
230.46875,2625,2
234.375,2597.65625,2
226.5625,2558.59375,2
207.03125,2554.6875,2
242.1875,2843.75,2
230.46875,2828.125,2
218.75,2816.40625,2
234.375,2789.0625,2
230.46875,2789.0625,2
250,2796.875,2
226.5625,2808.59375,2
222.65625,2796.875,2
284.375,2877.34375,2
284.375,2881.25,2
288.28125,2857.8125,2
264.84375,2861.71875,2
288.28125,2881.25,2
280.46875,2842.1875,2
276.5625,2850,2
276.5625,2857.8125,2
272.65625,2865.625,2
272.65625,1697.65625,2
276.5625,2853.90625,2
272.65625,2865.625,2
276.5625,2865.625,2
300,2932.03125,2
276.5625,2959.375,2
284.375,2889.0625,2
280.46875,2873.4375,2
280.46875,1998.4375,2
280.46875,2865.625,2
276.5625,2861.71875,2
272.65625,2834.375,2
276.5625,2830.46875,2
268.75,2807.03125,2
280.46875,2752.34375,2
276.5625,2857.8125,2
288.28125,2908.59375,2
292.1875,2850,2
296.09375,2834.375,2
288.28125,2791.40625,2
296.09375,2826.5625,2
284.375,1814.84375,2
284.375,2760.15625,2
296.09375,2842.1875,2
296.09375,2807.03125,2
292.1875,2803.125,2
296.09375,2803.125,2
288.28125,2810.9375,2
296.09375,2787.5,2
292.1875,2760.15625,2
296.09375,2838.28125,2
268.75,2791.40625,2
319.53125,2666.40625,2
315.625,2744.53125,2
323.4375,1670.3125,2
307.8125,2740.625,2
300,2705.46875,2
303.90625,2709.375,2
300,2881.25,2
303.90625,2725,2
303.90625,2678.125,2
246.09375,2742.1875,2
230.46875,2718.75,2
238.28125,2667.96875,2
242.1875,2707.03125,2
242.1875,2691.40625,2
273.4375,2679.6875,2
250,2773.4375,2
253.90625,2781.25,2
246.09375,2738.28125,2
246.09375,2699.21875,2
246.09375,2707.03125,2
250,2699.21875,2
238.28125,2683.59375,2
250,2644.53125,2
250,2652.34375,2
222.65625,2628.90625,2
246.09375,2714.84375,2
242.1875,2687.5,2
242.1875,2691.40625,2
238.28125,2683.59375,2
242.1875,2675.78125,2
238.28125,2667.96875,2
238.28125,2671.875,2
230.46875,2640.625,2
238.28125,2632.8125,2
261.71875,2695.3125,2
246.09375,2652.34375,2
210.9375,1699.21875,2
226.5625,2644.53125,2
230.46875,2640.625,2
234.375,2644.53125,2
222.65625,2636.71875,2
242.1875,2816.40625,2
230.46875,2648.4375,2
234.375,2710.9375,2
234.375,2738.28125,2
226.5625,2773.4375,2
